SRAnum biosample_num
SRR2127788 SAMN03280189
SRR2127603 SAMN03280189
SRR2135258 SAMN03280190
SRR2131456 SAMN03280190
SRR2127510 SAMN03280190
SRR2127779 SAMN03280190
SRR9214069 SAMN03280191
SRR2135187 SAMN03280191
SRR2135049 SAMN03280191
SRR2127568 SAMN03280191
SRR2127424 SAMN03280191
SRR2135204 SAMN03280192
SRR2127878 SAMN03280192
SRR2127562 SAMN03280192
SRR2127876 SAMN03280192
SRR9214056 SAMN03280193
SRR2135277 SAMN03280193
SRR2131415 SAMN03280193
SRR2127598 SAMN03280193
SRR2127438 SAMN03280193
SRR4156322 SAMN04487932
SRR4156321 SAMN04487932
SRR9214030 SAMN04521851
SRR6686514 SAMN04521851
SRR9214075 SAMN04521883
SRR6701915 SAMN04521883
SRR9214002 SAMN04521908
SRR6702194 SAMN04521908
SRR9900629 SAMN04521926
SRR6686534 SAMN04521926
SRR5246540 SAMN04606413
SRR5296506 SAMN04606413
SRR5244156 SAMN04606413
