SRAnum biosample_num
ERR474452 SAMEA2273306
ERR474453 SAMEA2273307
ERR474454 SAMEA2273308
ERR474455 SAMEA2273309
ERR474456 SAMEA2273310
ERR474457 SAMEA2273311
ERR474459 SAMEA2273313
ERR474460 SAMEA2273314
ERR474462 SAMEA2273316
ERR474463 SAMEA2273317
ERR474464 SAMEA2273318
ERR474466 SAMEA2273320
ERR474281 SAMEA2273321
ERR474282 SAMEA2273322
ERR474283 SAMEA2273323
ERR486727 SAMEA2273324
ERR474285 SAMEA2273326
ERR474288 SAMEA2273329
ERR474289 SAMEA2273330
ERR474290 SAMEA2273331
ERR474291 SAMEA2273332
ERR474292 SAMEA2273333
ERR474293 SAMEA2273334
ERR474294 SAMEA2273335
ERR474295 SAMEA2273336
ERR474296 SAMEA2273337
ERR486728 SAMEA2273338
ERR474297 SAMEA2273339
ERR474298 SAMEA2273340
ERR474299 SAMEA2273341
ERR474300 SAMEA2273342
ERR474301 SAMEA2273343
ERR474302 SAMEA2273344
ERR474303 SAMEA2273345
ERR474304 SAMEA2273346
ERR474305 SAMEA2273347
ERR474306 SAMEA2273348
ERR474308 SAMEA2273350
ERR474309 SAMEA2273351
ERR474310 SAMEA2273352
ERR474311 SAMEA2273353
ERR474314 SAMEA2273356
ERR474315 SAMEA2273357
ERR474318 SAMEA2273360
ERR474320 SAMEA2273362
ERR474321 SAMEA2273363
ERR474322 SAMEA2273364
ERR474324 SAMEA2273366
ERR474325 SAMEA2273367
ERR474327 SAMEA2273369
ERR474328 SAMEA2273370
ERR474329 SAMEA2273371
ERR486729 SAMEA2273372
ERR474330 SAMEA2273373
ERR474333 SAMEA2273376
ERR474335 SAMEA2273378
ERR474336 SAMEA2273379
ERR474337 SAMEA2273380
ERR474338 SAMEA2273381
ERR474341 SAMEA2273384
ERR474342 SAMEA2273385
ERR474343 SAMEA2273386
ERR486730 SAMEA2273387
ERR474344 SAMEA2273388
ERR474348 SAMEA2273392
ERR486731 SAMEA2273393
ERR474349 SAMEA2273394
ERR474351 SAMEA2273396
ERR474352 SAMEA2273397
ERR474353 SAMEA2273398
ERR474354 SAMEA2273399
ERR474355 SAMEA2273400
ERR474356 SAMEA2273401
ERR474357 SAMEA2273402
ERR486732 SAMEA2273403
ERR474359 SAMEA2273405
ERR474360 SAMEA2273406
ERR474361 SAMEA2273407
